camera,imgtype,zoom,exposure,gain,frame,lifter,timestamp,id,plantbarcode,treatment,cartag,measurementlabel,other,image,trait,value,label
SV,VIS,z1,e65,g0,0,h1,2016-06-28-09-24-24,213224,Fa016AC031865,none,none,none,v500,/shares/bioinformatics/hschuhl/sorghum_nitrogen/hands_on/small_subset/VIS_SV_0_z1_h1_g0_e65_v500_213224_2016-06-28-09-24-24_Fa016AC031865.png/VIS_SV_0_z1_h1_g0_e65_v500_213224_2016-06-28-09-24-24_Fa016AC031865.png,branch_pts,[1285.0, 1137.0],2
SV,VIS,z1,e65,g0,0,h1,2016-06-28-09-24-24,213224,Fa016AC031865,none,none,none,v500,/shares/bioinformatics/hschuhl/sorghum_nitrogen/hands_on/small_subset/VIS_SV_0_z1_h1_g0_e65_v500_213224_2016-06-28-09-24-24_Fa016AC031865.png/VIS_SV_0_z1_h1_g0_e65_v500_213224_2016-06-28-09-24-24_Fa016AC031865.png,tips,[1304, 1114],0
SV,VIS,z1,e65,g0,0,h1,2016-06-28-09-24-24,213224,Fa016AC031865,none,none,none,v500,/shares/bioinformatics/hschuhl/sorghum_nitrogen/hands_on/small_subset/VIS_SV_0_z1_h1_g0_e65_v500_213224_2016-06-28-09-24-24_Fa016AC031865.png/VIS_SV_0_z1_h1_g0_e65_v500_213224_2016-06-28-09-24-24_Fa016AC031865.png,tips,[1349, 915],1
SV,VIS,z1,e65,g0,0,h1,2016-06-28-09-24-24,213224,Fa016AC031865,none,none,none,v500,/shares/bioinformatics/hschuhl/sorghum_nitrogen/hands_on/small_subset/VIS_SV_0_z1_h1_g0_e65_v500_213224_2016-06-28-09-24-24_Fa016AC031865.png/VIS_SV_0_z1_h1_g0_e65_v500_213224_2016-06-28-09-24-24_Fa016AC031865.png,segment_insertion_angle,62.6480200207747,0
SV,VIS,z1,e65,g0,0,h1,2016-06-28-09-24-24,213224,Fa016AC031865,none,none,none,v500,/shares/bioinformatics/hschuhl/sorghum_nitrogen/hands_on/small_subset/VIS_SV_0_z1_h1_g0_e65_v500_213224_2016-06-28-09-24-24_Fa016AC031865.png/VIS_SV_0_z1_h1_g0_e65_v500_213224_2016-06-28-09-24-24_Fa016AC031865.png,segment_insertion_angle,48.08138303968238,1
SV,VIS,z1,e65,g0,0,h1,2016-06-28-09-24-24,213224,Fa016AC031865,none,none,none,v500,/shares/bioinformatics/hschuhl/sorghum_nitrogen/hands_on/small_subset/VIS_SV_0_z1_h1_g0_e65_v500_213224_2016-06-28-09-24-24_Fa016AC031865.png/VIS_SV_0_z1_h1_g0_e65_v500_213224_2016-06-28-09-24-24_Fa016AC031865.png,segment_insertion_angle,31.944817059949983,2
SV,VIS,z1,e65,g0,0,h1,2016-06-28-09-24-24,213224,Fa016AC031865,none,none,none,v500,/shares/bioinformatics/hschuhl/sorghum_nitrogen/hands_on/small_subset/VIS_SV_0_z1_h1_g0_e65_v500_213224_2016-06-28-09-24-24_Fa016AC031865.png/VIS_SV_0_z1_h1_g0_e65_v500_213224_2016-06-28-09-24-24_Fa016AC031865.png,segment_insertion_angle,38.66102221186071,3
SV,VIS,z1,e65,g0,0,h1,2016-06-28-09-24-24,213224,Fa016AC031865,none,none,none,v500,/shares/bioinformatics/hschuhl/sorghum_nitrogen/hands_on/small_subset/VIS_SV_0_z1_h1_g0_e65_v500_213224_2016-06-28-09-24-24_Fa016AC031865.png/VIS_SV_0_z1_h1_g0_e65_v500_213224_2016-06-28-09-24-24_Fa016AC031865.png,segment_path_length,106.5538227558136,0
SV,VIS,z1,e65,g0,0,h1,2016-06-28-09-24-24,213224,Fa016AC031865,none,none,none,v500,/shares/bioinformatics/hschuhl/sorghum_nitrogen/hands_on/small_subset/VIS_SV_0_z1_h1_g0_e65_v500_213224_2016-06-28-09-24-24_Fa016AC031865.png/VIS_SV_0_z1_h1_g0_e65_v500_213224_2016-06-28-09-24-24_Fa016AC031865.png,segment_path_length,332.4898953437805,1
SV,VIS,z1,e65,g0,0,h1,2016-06-28-09-24-24,213224,Fa016AC031865,none,none,none,v500,/shares/bioinformatics/hschuhl/sorghum_nitrogen/hands_on/small_subset/VIS_SV_0_z1_h1_g0_e65_v500_213224_2016-06-28-09-24-24_Fa016AC031865.png/VIS_SV_0_z1_h1_g0_e65_v500_213224_2016-06-28-09-24-24_Fa016AC031865.png,segment_path_length,353.6614682674408,2
